"from" "to" "capacity" "length" "cost0" "b" "power" "speed" "toll" "linktype" "fromx" "fromy" "tox" "toy" "link"
8 16 505 5 5 0.15 4 0 0 1 -96.71138171 43.56232379 -96.71138171 43.54674361 22
9 5 1000 5 5 0.15 4 0 0 1 -96.73124137 43.54859634 -96.73156909 43.56403357 23
9 8 505 10 10 0.15 4 0 0 1 -96.73124137 43.54859634 -96.71138171 43.56232379 24
9 10 1392 3 3 0.15 4 0 0 1 -96.73124137 43.54859634 -96.73143801 43.54527088 25
10 9 1392 3 3 0.15 4 0 0 1 -96.73143801 43.54527088 -96.73124137 43.54859634 26
10 11 1000 5 5 0.15 4 0 0 1 -96.73143801 43.54527088 -96.74684071 43.54413068 27
10 15 1351 6 6 0.15 4 0 0 1 -96.73143801 43.54527088 -96.73150355 43.52940117 28
10 16 485 4 4 0.15 4 0 0 1 -96.73143801 43.54527088 -96.71138171 43.54674361 29
10 17 499 8 8 0.15 4 0 0 1 -96.73143801 43.54527088 -96.71138171 43.54128009 30
11 4 491 6 6 0.15 4 0 0 1 -96.74684071 43.54413068 -96.74716843 43.56365362 31
11 10 1000 5 5 0.15 4 0 0 1 -96.74684071 43.54413068 -96.73143801 43.54527088 32
11 12 491 6 6 0.15 4 0 0 1 -96.74684071 43.54413068 -96.78013678 43.54394065 33
11 14 488 4 4 0.15 4 0 0 1 -96.74684071 43.54413068 -96.75103549 43.52930613 34
12 3 2340 4 4 0.15 4 0 0 1 -96.78013678 43.54394065 -96.77430341 43.5729616 35
12 11 491 6 6 0.15 4 0 0 1 -96.78013678 43.54394065 -96.74684071 43.54413068 36
12 13 2590 3 3 0.15 4 0 0 1 -96.78013678 43.54394065 -96.79337655 43.49070718 37
13 12 2590 3 3 0.15 4 0 0 1 -96.79337655 43.49070718 -96.78013678 43.54394065 38
13 24 509 4 4 0.15 4 0 0 1 -96.79337655 43.49070718 -96.74920028 43.50316422 39
14 11 488 4 4 0.15 4 0 0 1 -96.75103549 43.52930613 -96.74684071 43.54413068 40
14 15 513 5 5 0.15 4 0 0 1 -96.75103549 43.52930613 -96.73150355 43.52940117 41
14 23 492 4 4 0.15 4 0 0 1 -96.75103549 43.52930613 -96.75090441 43.51485818 42
15 10 1351 6 6 0.15 4 0 0 1 -96.73150355 43.52940117 -96.73143801 43.54527088 43
15 14 513 5 5 0.15 4 0 0 1 -96.73150355 43.52940117 -96.75103549 43.52930613 44
15 19 1456 3 3 0.15 4 0 0 1 -96.73150355 43.52940117 -96.71131617 43.52959125 45
15 22 960 3 3 0.15 4 0 0 1 -96.73150355 43.52940117 -96.73124137 43.51485818 46
16 8 505 5 5 0.15 4 0 0 1 -96.71138171 43.54674361 -96.71138171 43.56232379 47
16 10 485 4 4 0.15 4 0 0 1 -96.71138171 43.54674361 -96.73143801 43.54527088 48
16 17 523 2 2 0.15 4 0 0 1 -96.71138171 43.54674361 -96.71138171 43.54128009 49
16 18 1968 3 3 0.15 4 0 0 1 -96.71138171 43.54674361 -96.69407825 43.54674361 50
17 10 499 8 8 0.15 4 0 0 1 -96.71138171 43.54128009 -96.73143801 43.54527088 51
17 16 523 2 2 0.15 4 0 0 1 -96.71138171 43.54128009 -96.71138171 43.54674361 52
17 19 482 2 2 0.15 4 0 0 1 -96.71138171 43.54128009 -96.71131617 43.52959125 53
18 7 2340 2 2 0.15 4 0 0 1 -96.69407825 43.54674361 -96.69342281 43.5638436 54
18 16 1968 3 3 0.15 4 0 0 1 -96.69407825 43.54674361 -96.71138171 43.54674361 55
18 20 2340 4 4 0.15 4 0 0 1 -96.69407825 43.54674361 -96.71118508 43.5153335 56
19 15 1456 3 3 0.15 4 0 0 1 -96.71131617 43.52959125 -96.73150355 43.52940117 57
19 17 482 2 2 0.15 4 0 0 1 -96.71131617 43.52959125 -96.71138171 43.54128009 58
19 20 500 4 4 0.15 4 0 0 1 -96.71131617 43.52959125 -96.71118508 43.5153335 59
20 18 2340 4 4 0.15 4 0 0 1 -96.71118508 43.5153335 -96.69407825 43.54674361 60
20 19 500 4 4 0.15 4 0 0 1 -96.71118508 43.5153335 -96.71131617 43.52959125 61
20 21 506 6 6 0.15 4 0 0 1 -96.71118508 43.5153335 -96.7309792 43.51048509 62
20 22 508 5 5 0.15 4 0 0 1 -96.71118508 43.5153335 -96.73124137 43.51485818 63
21 20 506 6 6 0.15 4 0 0 1 -96.7309792 43.51048509 -96.71118508 43.5153335 64
21 22 523 2 2 0.15 4 0 0 1 -96.7309792 43.51048509 -96.73124137 43.51485818 65
21 24 489 3 3 0.15 4 0 0 1 -96.7309792 43.51048509 -96.74920028 43.50316422 66
22 15 960 3 3 0.15 4 0 0 1 -96.73124137 43.51485818 -96.73150355 43.52940117 67
22 20 508 5 5 0.15 4 0 0 1 -96.73124137 43.51485818 -96.71118508 43.5153335 68
22 21 523 2 2 0.15 4 0 0 1 -96.73124137 43.51485818 -96.7309792 43.51048509 69
22 23 500 4 4 0.15 4 0 0 1 -96.73124137 43.51485818 -96.75090441 43.51485818 70
23 14 492 4 4 0.15 4 0 0 1 -96.75090441 43.51485818 -96.75103549 43.52930613 71
23 22 500 4 4 0.15 4 0 0 1 -96.75090441 43.51485818 -96.73124137 43.51485818 72
23 24 508 2 2 0.15 4 0 0 1 -96.75090441 43.51485818 -96.74920028 43.50316422 73
24 13 509 4 4 0.15 4 0 0 1 -96.74920028 43.50316422 -96.79337655 43.49070718 74
24 21 489 3 3 0.15 4 0 0 1 -96.74920028 43.50316422 -96.7309792 43.51048509 75
24 23 508 2 2 0.15 4 0 0 1 -96.74920028 43.50316422 -96.75090441 43.51485818 76
